,,,,boaz's test,,,,,,,,,output ALGO2,,,,
,,,,,,,,,,,,,,,,,
,,lat,lon,,,,,compare lon,compare lat,lon,lat,,,,,,
12/05/2017 11:48,model=SM-G950F_device=dreamlte,32.1036066,35.20955386,699.6190299,2,8c:0c:90:2e:16:88,Ariel_University,0.000783058,0.000278842,35.20877081,32.10332776,686.0340693,Ariel_University,ec:8c:a2:08:94:18,1,-69,Ariel_University
12/05/2017 11:49,model=SM-G950F_device=dreamlte,32.10351187,35.20921272,694.2920229,3,8c:0c:90:2e:16:88,Ariel_University,0.000457385,0.000241017,35.20875534,32.10327085,686.9376431,Ariel_University,ec:8c:a2:08:94:18,1,-61,Ariel_University
12/05/2017 11:48,model=SM-G950F_device=dreamlte,32.10364881,35.20968782,703.5111034,6,8c:0c:90:ae:16:83, ,0.000893417,0.001030552,35.20879441,32.10261826,687.1584678,Ariel_University,ec:8c:a2:26:b1:78,1,-69,Ariel_University
12/05/2017 11:49,model=SM-G950F_device=dreamlte,32.10331408,35.20968902,704.09813,6,8c:0c:90:ae:16:83, ,0.000514343,0.000878409,35.20917468,32.10419249,684.9991023,Ariel_University,ec:8c:a2:26:d3:68,11,-64,Ariel_University
12/05/2017 11:49,model=SM-G950F_device=dreamlte,null,null,null,3,8c:0c:90:ae:16:83, ,#VALUE!,#VALUE!,35.20871948,32.10282332,688.001162,HelpDesk,f8:d1:11:77:77:c6,4,-70,Ariel_University
12/05/2017 11:50,model=SM-G950F_device=dreamlte,null,null,null,2,8c:0c:90:ae:16:83, ,#VALUE!,#VALUE!,,,,,,,,
12/05/2017 11:50,model=SM-G950F_device=dreamlte,null,null,null,2,a0:8c:fd:0a:24:56,DIRECT-13-HP DeskJet 3630 series,#VALUE!,#VALUE!,,,,,,,,
12/05/2017 11:49,model=SM-G950F_device=dreamlte,32.10450949,35.20970486,686.4646716,2,a2:6c:ac:9f:fb:1f,Neuropplied,35.20970486,32.10450949,,,,,,,,
12/05/2017 11:49,model=SM-G950F_device=dreamlte,32.10426844,35.2097836,685.5343721,3,ec:8c:a2:26:d3:68,Ariel_University,35.2097836,32.10426844,,,,,,,,
12/05/2017 11:50,model=SM-G950F_device=dreamlte,32.10375195,35.20912531,688.1386516,4,ec:8c:a2:26:d3:68,Ariel_University,35.20912531,32.10375195,,,,,,,,
