,,,,boaz's test,,,,,,,,,,our output Algo1,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,lat,lon,,,,,compare lon,compare lat,,,,,,lon,lat,
78,1c:b9:c4:16:05:78,Ariel_University,6,-80,32.10475928,35.21038663,690.8784428,03/12/2017 08:53,Approx. w-center algo1,,3.86E-09,4.03E-09,,Ariel_University,1c:b9:c4:16:05:78,6,-86,35.21038663,32.10475928,690.8784428
19,1c:b9:c4:16:ee:98,Ariel_University,6,-78,32.10275183,35.20948898,696.4616326,03/12/2017 09:04,Approx. w-center algo1,,3.85E-09,4.05E-09,,Ariel_University,1c:b9:c4:16:ee:98,6,-82,35.20948898,32.10275183,696.4616326
101,1c:b9:c4:15:ed:48,Ariel_University,1,-80,32.10457393,35.21121279,694.3731328,03/12/2017 08:55,Approx. w-center algo1,,3.70E-09,4.83E-09,,Ariel_University,1c:b9:c4:15:ed:48,1,-89,35.21121279,32.10457393,694.3731328
44,24:79:2a:2b:07:b8,Ariel_University,11,-77,32.10393489,35.21058834,702.2758435,03/12/2017 09:06,Approx. w-center algo1,,3.33E-09,3.22E-09,,Ariel_University,24:79:2a:2b:07:b8,11,-85,35.21058834,32.10393489,702.2758435
69,1c:b9:c4:16:f1:98,Ariel_University,11,-73,32.10247524,35.20892269,686.5066387,03/12/2017 08:54,Approx. w-center algo1,,3.24E-09,4.19E-09,,Ariel_University,1c:b9:c4:16:f1:98,11,-87,35.20892269,32.10247524,686.5066387
73,1c:b9:c4:14:33:c8,Ariel_University,11,-75,32.10259991,35.2090994,688.8197665,03/12/2017 08:54,Approx. w-center algo1,,3.18E-09,1.19E-09,,Ariel_University,1c:b9:c4:14:33:c8,11,-84,35.2090994,32.10259991,688.8197665
87,24:79:2a:2c:5b:d8,Ariel_University,1,-78,32.10410349,35.21009591,698.2061989,03/12/2017 08:53,Approx. w-center algo1,,2.55E-09,6.52E-10,,Ariel_University,24:79:2a:2c:5b:d8,1,-78,35.21009591,32.10410349,698.2061989
32,1c:b9:c4:14:2b:88,Ariel_University,11,-80,32.10337662,35.20995868,698.3196085,03/12/2017 09:03,Approx. w-center algo1,,2.15E-09,3.65E-09,,Ariel_University,1c:b9:c4:14:2b:88,11,-86,35.20995868,32.10337662,698.3196085
43,1c:b9:c4:14:2b:c8,Ariel_University,6,-81,32.10484982,35.21104923,693.9879864,03/12/2017 08:56,Approx. w-center algo1,,1.93E-09,2.28E-09,,Ariel_University,1c:b9:c4:14:2b:c8,6,-90,35.21104923,32.10484982,693.9879864
54,1c:b9:c4:16:28:e8,Ariel_University,1,-65,32.10339963,35.2088745,685.7007149,03/12/2017 08:54,Approx. w-center algo1,,1.75E-09,4.60E-09,,Ariel_University,1c:b9:c4:16:28:e8,1,-76,35.2088745,32.10339963,685.7007149
