,,,,boaz's test,,,,,,,,,,our output Algo1,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,lat,lon,,,,,compare lon,compare lat,,,,,,lon,lat,
81,60:e3:27:7b:e0:98,HelpDesk,4,-83,32.1037249,35.21020742,710.7830608,03/12/2017 09:06,Approx. w-center algo1,,0,0,,Partner,42501_10072_470802,0,-63,32.1037249,35.21020742,710.7830608
77,1c:b9:c4:16:28:ec,Ariel_University,36,-84,32.10374932,35.21009737,711.0424025,03/12/2017 09:06,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:16:28:ec,36,-84,32.10374932,35.21009737,711.0424025
107,1c:b9:c4:96:28:e7, ,36,-85,32.10374932,35.21009737,711.0424025,03/12/2017 09:06,Approx. w-center algo1,,0,0,,,1c:b9:c4:96:28:e7,36,-85,32.10374932,35.21009737,711.0424025
65,24:79:2a:2b:bd:8c,Ariel_University,44,-83,32.10375433,35.21024297,710.8162815,03/12/2017 09:06,Approx. w-center algo1,,0,0,,Ariel_University,24:79:2a:2b:bd:8c,44,-83,32.10375433,35.21024297,710.8162815
129,e0:10:7f:1a:bd:98,Ariel_University,6,-88,32.10376365,35.20883622,686,03/12/2017 08:54,Approx. w-center algo1,,0,0,,lab_6.1.3,c4:12:f5:f6:a0:18,3,-80,32.10376365,35.20883622,686
47,24:79:2a:ac:5c:17, ,36,-85,32.10380445,35.21025489,710.9347989,03/12/2017 09:06,Approx. w-center algo1,,0,0,,,24:79:2a:ac:5c:17,36,-85,32.10380445,35.21025489,710.9347989
59,1c:b9:c4:96:1d:77, ,44,-90,32.1038101,35.21028362,710.9061261,03/12/2017 09:06,Approx. w-center algo1,,0,0,,,1c:b9:c4:96:1d:77,44,-90,32.1038101,35.21028362,710.9061261
34,1c:b9:c4:96:e5:a7, ,36,-90,32.1038101,35.21028362,710.9061261,03/12/2017 09:06,Approx. w-center algo1,,0,0,,,1c:b9:c4:96:e5:a7,36,-90,32.1038101,35.21028362,710.9061261
39,ec:8c:a2:26:d3:68,Ariel_University,11,-64,32.10384104,35.20901946,684.6488641,03/12/2017 08:54,Approx. w-center algo1,,0,0,,Ariel_University,ec:8c:a2:26:b0:e8,6,-86,32.10384104,35.20901946,684.6488641
13,1c:b9:c4:16:1d:78,Ariel_University,1,-81,32.10385601,35.2090937,687,03/12/2017 08:54,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:16:1d:78,1,-83,32.10385601,35.2090937,687
94,90:6c:ac:9f:f1:c5,CliClap,2,-82,32.10400481,35.20920836,686.5295599,03/12/2017 08:53,Approx. w-center algo1,,0,0,,Ariel_University,8c:0c:90:2f:d3:d8,11,-78,32.10400481,35.20920836,686.5295599
138,24:79:2a:2c:5c:18,Ariel_University,11,-81,32.10401436,35.21079152,697,03/12/2017 08:55,Approx. w-center algo1,,0,0,,Ariel_University,24:79:2a:2c:5c:18,11,-81,32.10401436,35.21079152,697
18,b2:6c:ac:a0:3d:eb,sinusafe,3,-75,32.10406321,35.20902709,685,03/12/2017 08:54,Approx. w-center algo1,,0,0,,Guest,a2:6c:ac:a0:7b:4d,11,-82,32.10406321,35.20902709,685
1,b2:6c:ac:a0:7b:4d,magneto,11,-78,32.10406321,35.20902709,685,03/12/2017 08:54,Approx. w-center algo1,,0,0,,paysday,b2:6c:ac:9f:f1:c5,2,-92,32.10406321,35.20902709,685
0,b2:6c:ac:9f:f1:c5,paysday,2,-82,32.10412094,35.20909272,685,03/12/2017 08:54,Approx. w-center algo1,,0,0,,incentive2,a2:6c:ac:a0:60:4d,1,-70,32.10412094,35.20909272,685
86,00:02:6f:8e:64:67, ,1,-91,32.10419361,35.20917533,685,03/12/2017 08:54,Approx. w-center algo1,,0,0,,,00:02:6f:8e:64:67,1,-91,32.10419361,35.20917533,685
79,1c:b9:c4:15:23:58,Ariel_University,6,-79,32.10422292,35.2093103,686.4634635,03/12/2017 08:54,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:15:23:58,6,-85,32.10422292,35.2093103,686.4634635
2,1c:b9:c4:95:41:77, ,44,-82,32.10423611,35.21138319,700,03/12/2017 08:55,Approx. w-center algo1,,0,0,,,1c:b9:c4:95:41:77,44,-82,32.10423611,35.21138319,700
30,a2:6c:ac:a0:18:29,artsim,6,-80,32.10440239,35.20946023,687,03/12/2017 08:53,Approx. w-center algo1,,0,0,,EVE,90:6c:ac:a0:7b:4d,11,-83,32.10440239,35.20946023,687
11,1c:b9:c4:15:41:78,Ariel_University,1,-71,32.10443396,35.21083207,694.7803059,03/12/2017 08:55,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:15:41:78,1,-90,32.10443396,35.21083207,694.7803059
96,c2:6c:ac:9f:fb:1f,shapedo,1,-82,32.10452103,35.20972421,686.5181812,03/12/2017 08:53,Approx. w-center algo1,,0,0,,sinusafe,b2:6c:ac:a0:3d:eb,3,-75,32.10452103,35.20972421,686.5181812
57,1c:b9:c4:15:44:88,Ariel_University,6,-77,32.10458831,35.21104487,692.7964602,03/12/2017 08:55,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:15:44:88,6,-88,32.10458831,35.21104487,692.7964602
95,00:11:6b:11:7e:0c,yosh,1,-84,32.10465317,35.21092024,691.391404,03/12/2017 08:53,Approx. w-center algo1,,0,0,,yosh,00:11:6b:11:7e:0c,1,-84,32.10465317,35.21092024,691.391404
136,1c:b9:c4:96:05:37, ,36,-83,32.10466627,35.20990936,687,03/12/2017 08:53,Approx. w-center algo1,,0,0,,,1c:b9:c4:96:05:37,36,-83,32.10466627,35.20990936,687
97,70:5a:0f:57:04:17,DIRECT-B1-HP DeskJet 3830 series,11,-74,32.10466627,35.20990936,687,03/12/2017 08:53,Approx. w-center algo1,,0,0,,HelpDesk,60:e3:27:7b:e0:98,4,-83,32.10466627,35.20990936,687
100,90:6c:ac:a0:60:4d,Guest,1,-69,32.10466627,35.20990936,687,03/12/2017 08:53,Approx. w-center algo1,,0,0,,,8c:0c:90:ad:75:e3,1,-76,32.10466627,35.20990936,687
42,a2:6c:ac:a0:60:4d,incentive2,1,-70,32.10466627,35.20990936,687,03/12/2017 08:53,Approx. w-center algo1,,0,0,,36518749,a0:ab:1b:60:b4:ca,8,-87,32.10466627,35.20990936,687
91,90:6c:ac:a0:7b:4d,EVE,11,-69,32.10473751,35.21005263,687.4086695,03/12/2017 08:53,Approx. w-center algo1,,0,0,,CliClap,90:6c:ac:9f:f1:c5,2,-82,32.10473751,35.21005263,687.4086695
137,c2:6c:ac:a0:7b:4d,outsense,11,-67,32.1047433,35.21006092,687.9477801,03/12/2017 08:53,Approx. w-center algo1,,0,0,,magneto,b2:6c:ac:a0:7b:4d,11,-78,32.1047433,35.21006092,687.9477801
17,00:1a:dd:f5:df:c5,Afikim_Wifi,6,-87,32.10475343,35.21007474,689,03/12/2017 08:53,Approx. w-center algo1,,0,0,,Afikim_Wifi,00:1a:dd:f5:df:c5,6,-87,32.10475343,35.21007474,689
108,1c:b9:c4:16:cd:18,IT-MNG,1,-93,32.10476714,35.2115156,696,03/12/2017 08:56,Approx. w-center algo1,,0,0,,IT-MNG,1c:b9:c4:16:cd:18,1,-93,32.10476714,35.2115156,696
104,1c:b9:c4:56:cd:18,Ariel_University,1,-92,32.10476714,35.2115156,696,03/12/2017 08:56,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:56:cd:18,1,-92,32.10476714,35.2115156,696
58,a2:6c:ac:a0:7b:4d,Guest,11,-71,32.10479078,35.21015409,688.5715257,03/12/2017 08:53,Approx. w-center algo1,,0,0,,artsim,a2:6c:ac:a0:18:29,6,-80,32.10479078,35.21015409,688.5715257
16,1c:b9:c4:15:fd:e8,IT-MNG,11,-84,32.10481492,35.2114539,695,03/12/2017 08:56,Approx. w-center algo1,,0,0,,IT-MNG,1c:b9:c4:15:fd:e8,11,-84,32.10481492,35.2114539,695
124,1c:b9:c4:15:25:48,Ariel_University,1,-80,32.10483179,35.21036963,687,03/12/2017 08:53,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:15:25:48,1,-88,32.10483179,35.21036963,687
55,1c:b9:c4:15:42:68,Ariel_University,11,-85,32.10485702,35.21080784,690.023391,03/12/2017 08:53,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:15:42:68,11,-85,32.10485702,35.21080784,690.023391
134,1c:b9:c4:16:2b:e8,Ariel_University,6,-83,32.10486232,35.21078094,692.7648361,03/12/2017 08:53,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:16:2b:e8,6,-83,32.10486232,35.21078094,692.7648361
